,HOMBRES,HOMBRES,HOMBRES,HOMBRES,HOMBRES,HOMBRES,HOMBRES,HOMBRES,HOMBRES,HOMBRES,HOMBRES,HOMBRES
,BLANCAS,BLANCAS,BLANCAS,AMARILLAS,AMARILLAS,AMARILLAS,AZULES,AZULES,AZULES,ROJAS,ROJAS,ROJAS
Puntos HDCP,Informal 100%,Medal 95%,Four Ball 85%,Informal 100%,Medal 95%,Four Ball 85%,Informal 100%,Medal 95%,Four Ball 85%,Informal 100%,Medal 95%,Four Ball 85%
2,"3,2 – 2,5","3,3 – 2,6","3,6 – 2,7","1,7 – 1,0","1,8 – 1,1","2,1 – 1,2","1,3 – 2,1","1,2 – 2,0","0,9 – 1,8","2,9 – 3,7","2,8 – 3,7","2,5 – 3,5"
1,"2,4 – 1,7","2,5 – 1,7","2,6 – 1,8","0,9 – 0,1","1,0 – 0,2","1,1 – 0,2","2,2 – 3,0","2,1 – 3,0","1,9 – 2,9","3,8 – 4,7","3,8 – 4,6","3,6 – 4,6"
0,"1,6 – 0,9","1,6 – 0,8","1,7 – 0,8","0,0 – 0,7","0,1 – 0,7","0,1 – 0,8","3,1 – 3,9","3,1 – 3,9","3,0 – 3,9","4,8 – 5,6","4,7 – 5,6","4,7 – 5,7"
1,"0,8 – 0,1","0,7 – 0,0","0,7 – 0,2","0,8 – 1,6","0,8 – 1,6","0,9 – 1,8","4,0 – 4,8","4,0 – 4,8","4,0 – 5,0","5,7 – 6,5","5,7 – 6,6","5,8 – 6,8"
2,"0,0 – 0,8","0,1 – 0,9","0,3 – 1,1","1,7 – 2,4","1,7 – 2,5","1,9 – 2,8","4,9 – 5,6","4,9 – 5,8","5,1 – 6,0","6,6 – 7,5","6,7 – 7,6","6,9 – 7,9"
3,"0,9 – 1,6","1,0 – 1,7","1,2 – 2,1","2,5 – 3,3","2,6 – 3,4","2,9 – 3,8","5,7 – 6,5","5,9 – 6,7","6,1 – 7,1","7,6 – 8,4","7,7 – 8,5","8,0 – 9,0"
4,"1,7 – 2,4","1,8 – 2,6","2,2 – 3,1","3,4 – 4,1","3,5 – 4,3","3,9 – 4,8","6,6 – 7,4","6,8 – 7,6","7,2 – 8,1","8,5 – 9,3","8,6 – 9,5","9,1 – 10,0"
5,"2,5 – 3,2","2,7 – 3,5","3,2 – 4,0","4,2 – 5,0","4,4 – 5,2","4,9 – 5,8","7,5 – 8,3","7,7 – 8,6","8,2 – 9,2","9,4 – 10,2","9,6 – 10,5","10,1 – 11,1"
6,"3,3 – 4,0","3,6 – 4,3","4,1 – 5,0","5,1 – 5,8","5,3 – 6,1","5,9 – 6,8","8,4 – 9,2","8,7 – 9,5","9,3 – 10,2","10,3 – 11,2","10,6 – 11,5","11,2 – 12,2"
7,"4,1 – 4,9","4,4 – 5,2","5,1 – 5,9","5,9 – 6,7","6,2 – 7,0","6,9 – 7,8","9,3 – 10,1","9,6 – 10,4","10,3 – 11,3","11,3 – 12,1","11,6 – 12,4","12,3 – 13,3"
8,"5,0 – 5,7","5,3 – 6,0","6,0 – 6,9","6,8 – 7,5","7,1 – 7,9","7,9 – 8,8","10,2 – 11,0","10,5 – 11,4","11,4 – 12,3","12,2 – 13,0","12,5 – 13,4","13,4 – 14,4"
9,"5,8 – 6,5","6,1 – 6,9","7,0 – 7,9","7,6 – 8,4","8,0 – 8,8","8,9 – 9,8","11,1 – 11,9","11,5 – 12,3","12,4 – 13,4","13,1 – 13,9","13,5 – 14,4","14,5 – 15,5"
10,"6,6 – 7,3","7,0 – 7,8","8,0 – 8,8","8,5 – 9,2","8,9 – 9,7","9,9 – 10,8","12,0 – 12,8","12,4 – 13,3","13,5 – 14,4","14,0 – 14,9","14,5 – 15,4","15,6 – 16,6"
11,"7,4 – 8,1","7,9 – 8,6","8,9 – 9,8","9,3 – 10,1","9,8 – 10,6","10,9 – 11,8","12,9 – 13,7","13,4 – 14,2","14,5 – 15,5","15,0 – 15,8","15,5 – 16,3","16,7 – 17,7"
12,"8,2 – 9,0","8,7 – 9,5","9,9 – 10,8","10,2 – 10,9","10,7 – 11,5","11,9 – 12,8","13,8 – 14,5","14,3 – 15,1","15,6 – 16,5","15,9 – 16,7","16,4 – 17,3","17,8 – 18,8"
13,"9,1 – 9,8","9,6 – 10,4","10,9 – 11,7","11,0 – 11,8","11,6 – 12,4","12,9 – 13,8","14,6 – 15,4","15,2 – 16,1","16,6 – 17,6","16,8 – 17,6","17,4 – 18,3","18,9 – 19,8"
14,"9,9 – 10,6","10,5 – 11,2","11,8 – 12,7","11,9 – 12,6","12,5 – 13,3","13,9 – 14,8","15,5 – 16,3","16,2 – 17,0","17,7 – 18,6","17,7 – 18,6","18,4 – 19,3","19,9 – 20,9"
15,"10,7 – 11,4","11,3 – 12,1","12,8 – 13,7","12,7 – 13,5","13,4 – 14,2","14,9 – 15,8","16,4 – 17,2","17,1 – 17,9","18,7 – 19,6","18,7 – 19,5","19,4 – 20,2","21,0 – 22,0"
16,"11,5 – 12,2","12,2 – 12,9","13,8 – 14,6","13,6 – 14,3","14,3 – 15,0","15,9 – 16,8","17,3 – 18,1","18,0 – 18,9","19,7 – 20,7","19,6 – 20,4","20,3 – 21,2","22,1 – 23,1"
17,"12,3 – 13,1","13,0 – 13,8","14,7 – 15,6","14,4 – 15,2","15,1 – 15,9","16,9 – 17,8","18,2 – 19,0","19,0 – 19,8","20,8 – 21,7","20,5 – 21,3","21,3 – 22,2","23,2 – 24,2"
18,"13,2 – 13,9","13,9 – 14,7","15,7 – 16,5","15,3 – 16,0","16,0 – 16,8","17,9 – 18,8","19,1 – 19,9","19,9 – 20,7","21,8 – 22,8","21,4 – 22,3","22,3 – 23,2","24,3 – 25,3"
